Identifier,Point_id,Latitude,Longitude,z,Hs
19_044,65,50.83501325,-115.2145181,2170.8129,1.1
19_044,66,50.83506858,-115.2144728,2169.9164,1.26
19_044,68,50.83516408,-115.2143966,2168.2691,1.08
19_044,69,50.8351645,-115.2143963,2168.2451,1.31
19_044,70,50.83513779,-115.214261,2164.7451,2
19_044,71,50.83508043,-115.2140355,2160.092,1.72
19_044,72,50.83485753,-115.2136993,2156.9921,1.25
19_044,73,50.83474988,-115.2135206,2154.4827,1.15
19_044,74,50.83459592,-115.2132592,2152.0227,0.65
19_044,75,50.83439605,-115.2131409,2151.866,1.75
19_044,76,50.83415898,-115.212781,2148.4335,1.4
19_044,77,50.83417802,-115.2127019,2147.5467,1.27
19_044,78,50.83422464,-115.2126485,2146.264,1.21
19_044,79,50.83428195,-115.2126535,2146.0121,1.38
19_044,80,50.83436361,-115.2126509,2145.1167,1.25
19_044,81,50.83447253,-115.2126518,2142.9399,1.63
19_044,82,50.83462581,-115.2126465,2140.3853,0.91
19_044,83,50.83476077,-115.2125904,2139.4509,0.64
19_044,84,50.83470942,-115.2125235,2138.3651,0.69
19_044,85,50.83464231,-115.2124681,2137.5664,0.54
19_044,86,50.8344913,-115.2122776,2134.206,1.23
19_044,87,50.83438647,-115.2121206,2131.5512,1.76
19_044,88,50.8343252,-115.2120732,2130.9772,1.62
19_044,89,50.83424951,-115.2119921,2129.1736,1.6
19_044,90,50.83419774,-115.2119273,2127.6775,1.41
19_044,91,50.83414796,-115.2118226,2125.3599,1.5
19_044,92,50.83413653,-115.2117973,2124.5394,1.29
19_044,93,50.83408885,-115.2117226,2122.8775,1.57
19_044,94,50.83410997,-115.2116784,2121.3273,1.64
19_044,95,50.83405937,-115.2113859,2114.2508,1.27
19_044,96,50.83407043,-115.2113027,2113.3168,1.2
